A,B,C,D,angle,area,perimeter,defects,label
925.5951046,375.1582909,231.2790227,820.8640145,183.681342,651.5,111.3553385,3,B
920.7611779,394.5926514,238.9037612,1492.305268,247.4663391,651,111.5979791,4,B
917.7263264,357.4216392,227.4528932,1162.900627,182.5597492,637,108.7695519,3,B
914.2997476,357.1428815,223.7630026,1121.377312,182.3315485,617,106.7695519,3,B
901.1709284,340.7252844,224.8069589,998.3514025,185.78895,616.5,108.1837655,3,B
881.0159111,363.7735951,241.9306164,1131.684508,224.7223967,625,109.5979789,4,B
881.1411404,332.5371017,220.7214413,918.2499154,178.4507248,592,105.9411248,3,B
886.9145285,346.9015173,221.1185091,1262.267722,180.5778982,590.5,105.3553382,3,B
894.7095324,362.1925857,220.1953294,1092.996751,183.9717535,606.5,109.0121926,3,B
902.9676604,365.8010336,221.1550719,839.6140581,189.949752,595.5,107.3553385,3,B
879.5025926,345.7602914,219.6256676,959.1731576,182.3145018,616.5,110.1837654,3,B
874.0160865,350.9699625,220.1126879,1294.010938,180.6210847,617.5,110.1837655,3,B
883.4053393,345.1355746,221.4726176,1040.669913,184.9302227,609.5,108.1837653,3,B
889.0123059,351.2063517,220.9848583,1377.629018,180.7979974,607,106.769552,3,B
871.607111,326.8513733,224.822844,809.7461496,184.3832865,619,109.5979789,3,B
880.9742505,338.9432512,228.1941834,1266.648711,260.7723921,614.5,109.0121925,4,B
862.3518949,320.0841195,224.5119274,1079.544931,179.4544283,594.5,105.3553383,3,B
867.1615195,326.6312579,227.4131876,1235.713175,179.3584301,589.5,106.1837655,3,B
868.404992,344.9436873,236.6325814,1220.725656,266.8337729,599,105.9411248,4,B
875.2581586,319.5258921,229.2468096,795.1429723,188.7707775,602.5,105.3553385,3,B
879.173161,324.2649678,239.607634,1269.339992,267.6406927,618.5,108.1837655,4,B
876.7101935,336.7223041,223.9056329,1062.214051,186.568819,619.5,107.3553386,3,B
872.6255646,341.9175449,229.3577261,967.0694378,182.1003931,603,105.9411249,3,B
883.671029,354.3190034,239.3321316,991.9867291,269.1490656,635,109.5979789,4,B
874.735591,340.1464659,290.5813174,1083.382248,220.6868111,635,109.5979791,4,B
871.6207473,318.91129,289.7125323,1071.014691,217.6338118,639,109.5979791,4,B
884.3014608,336.8586545,306.8781885,1070.509242,271.3758735,629.5,110.1837655,5,B
883.2550739,337.623508,297.3143307,1376.699982,215.9488296,626.5,109.3553383,4,B
888.3416048,337.1946745,233.4848358,982.3924591,184.7974996,626,108.769552,3,B
898.7730311,342.2955176,244.3692636,1002.124057,184.9671066,644.5,112.1837655,3,B
899.7841085,328.4631238,255.7106941,835.8868522,182.5082552,646,111.5979789,3,B
899.2034884,354.5444812,260.3555454,698.3105855,178.4596533,667.5,115.0121926,3,B
905.5910408,339.311277,260.0544839,693.7082089,176.9483041,639.5,113.0121925,3,B
903.1733273,331.0299419,261.2359058,531.1794628,183.877714,658,115.2548332,3,B
908.914371,342.0902277,259.6585999,694.755509,188.5276237,644,110.7695519,3,B
906.6669351,314.7572211,260.9634452,698.9697293,190.0009833,662,112.4264061,3,B
904.6261431,320.731857,265.5776329,857.4765028,180.112026,655,112.769552,3,B
911.7222425,338.8451995,267.8756711,1187.478819,187.6798841,656,113.5979789,3,B
913.8589163,330.7221018,273.4001097,1004.027701,181.8645417,651.5,111.3553385,3,B
901.6578376,331.8953332,274.6170937,692.3967426,179.0279906,656.5,113.0121927,3,B
905.6493363,328.6023403,283.6725737,1003.30489,259.819139,650,110.7695519,4,B
888.2616344,317.9694884,272.3927923,689.0174447,181.9364633,670,113.5979791,3,B
899.7993087,322.9246478,270.2603987,836.7619784,184.0862802,648,111.5979789,3,B
901.8683729,325.2749629,269.4693549,857.2762859,184.3185282,662,115.5979791,3,B
907.5039365,332.1162977,272.0685071,861.6496384,180.9476709,643.5,112.1837655,3,B
904.8468719,343.768158,282.0544495,864.9712161,264.4276429,639,111.5979791,4,B
920.5353437,347.2413822,273.0480337,841.8856238,187.3040079,653,113.5979791,3,B
919.2926741,328.2761378,267.0524345,848.8089567,182.1304967,637.5,111.0121926,3,B
920.8425392,349.1115649,266.1566252,847.7655568,183.7620094,629,112.769552,3,B
924.737581,346.0569473,266.6895743,717.2503721,184.94019,619,108.769552,3,B
910.3373649,358.3053461,261.7866916,1170.529883,177.9376377,610.5,108.1837653,3,B
917.3622094,364.8074576,259.7488567,845.9673981,175.4522818,613.5,109.3553385,3,B
912.7748983,360.776411,249.9175248,837.4641351,176.9539547,634.5,112.1837655,3,B
892.0451166,356.6864385,314.3021889,799.8036841,201.3377923,623,110.7695519,4,B
877.8076204,349.0206337,240.3649832,534.2528915,172.4801696,635.5,111.0121924,3,B
867.4327672,345.5798456,235.8189325,967.3620168,170.5444111,627,110.769552,3,B
883.5316872,351.5139108,238.7283488,524.2115651,173.5240793,639,110.7695519,3,B
877.5686528,382.606626,236.8925838,883.4380416,170.7986952,627.5,109.3553385,3,B
875.1661646,354.4135878,241.7306242,682.9491495,179.6046854,626,108.7695519,3,B
879.1507805,345.3953155,238.2459616,864.4991332,177.4894127,628,111.9411249,3,B
895.4501658,365.6567648,244.9125565,699.2210246,176.340443,639.5,110.1837655,3,B
892.8426477,362.9701281,246.3854224,835.9790536,170.6575511,648,112.7695519,3,B
893.8266453,348.5903717,245.0984565,689.7189281,179.5827968,640.5,112.1837655,3,B
874.8534471,335.6424345,242.4357009,713.7528473,175.6415902,636,109.9411249,3,B
878.7643359,339.0610989,244.1631744,971.9853964,175.0980354,627.5,109.3553385,3,B
877.1675999,350.0868962,243.5631457,676.6857098,177.5064988,636.5,111.0121925,3,B
891.4076609,349.5442382,245.7355602,824.9615064,178.3475158,622.5,110.1837654,3,B
880.8639422,352.8180723,243.9295089,676.6713743,176.8719507,641.5,111.0121925,3,B
884.524948,345.9078752,245.3555095,678.4686682,177.1775718,617.5,108.1837655,3,B
889.5054279,344.3186396,240.4587423,977.1633453,180.3130749,622.5,110.1837655,3,B
892.9540265,344.6536864,244.0001342,828.7789023,180.7349492,625.5,109.3553385,3,B
882.1878379,369.5236521,244.7468164,552.4416209,181.5610499,627,110.769552,3,B
882.4115312,345.898428,242.9374479,968.232694,180.0635815,632,111.5979791,3,B
872.2703025,355.0738568,236.4518933,869.855181,178.1494323,626.5,108.1837654,3,B
879.0366084,369.1129331,225.9374479,858.1385377,179.4467311,623.5,109.3553385,3,B
876.5414533,356.9927872,229.6035503,1161.424368,177.7627239,637,111.5979789,3,B
885.4690845,352.6839385,240.9937736,971.8167269,169.4817177,625.5,109.0121925,3,B
909.2624134,357.457525,251.2435359,845.4400524,184.4741107,631.5,108.1837655,3,B
897.1030894,356.1192089,259.343303,839.9289321,176.0115349,636.5,109.0121926,3,B
904.0101526,351.2532013,248.2052342,988.0441683,181.9514622,52,27.65685415,3,B
889.6062707,334.3301798,248.4298622,1009.458044,184.3989107,630.5,112.1837655,3,B
896.5995617,352.0923919,248.5397826,698.7306531,189.874304,639,111.5979791,3,B
904.293121,352.9390283,248.2504265,698.4262445,192.49421,649,110.4264063,3,B
881.3277563,331.9024753,236.0512202,672.0604561,194.5609353,649.5,113.8406196,3,B
879.3306421,339.5376157,226.7973631,1159.681516,211.5953425,626,110.7695519,3,B
884.499362,395.7077892,208.6150248,810.7223335,121.7436974,616.5,110.1837654,2,B
882.308723,346.9783241,224.5333494,824.9657046,208.5467609,608.5,109.3553385,3,B
888.2779668,349.6759467,225.2993045,1168.012283,212.4616349,583,105.9411248,3,B
896.0622509,339.6480008,224.0171275,527.8444974,205.3971081,573,103.9411248,3,B
879.9420916,392.6038357,205.0507648,887.0426579,119.4872267,572,105.9411248,2,B
878.7471437,336.4906549,223.3370664,687.3288924,212.4011341,571.5,103.3553383,3,B
851.3240459,366.9209539,205.7951158,969.9186157,128.2114228,546,103.9411249,2,B
849.5443705,353.9295226,203.8962288,1301.629466,125.2574751,535,101.9411248,2,B
863.9973871,366.2598984,201.9928615,953.1200579,126.0249208,508.5,98.52691138,2,B
845.8011621,296.4717163,219.0845603,1115.888119,216.2517657,514.5,99.35533857,3,B
858.0157746,369.4877272,203.7119571,717.1565924,126.860667,506,98.28427076,2,B
853.1586784,331.7729409,217.7755759,1393.375789,215.826918,512,99.11269772,3,B
854.2661942,294.8566632,228.8541432,1458.273115,257.2768274,512,98.76955187,4,B
856.3539872,353.1628813,203.8715711,1141.632101,123.1280711,521.5,102.5269115,2,B
866.4223851,369.2832444,200.5576508,794.3964032,127.8237233,529.5,101.6984843,2,B
849.9497487,337.6247395,212.1695277,917.1717875,213.0747626,528.5,102.5269113,3,B
841.4075136,352.7088822,198.4908904,1099.90145,123.3033964,542,105.1126978,2,B
853.7081873,357.4390244,195.3914886,1058.738174,125.7328651,553,104.7695519,2,B
852.5686991,335.1343328,200.8797618,1050.355803,190.809204,520,101.1126977,3,B
858.1733481,329.8036537,208.4133674,1337.765432,210.416707,520,101.9411249,3,B
870.5249551,332.7957675,209.5006415,946.6884814,215.2218567,513.5,100.5269114,3,B
877.4715891,352.2531387,277.6067108,1231.061203,233.6858681,520,101.9411249,4,B
871.438647,354.0435119,212.6031524,1203.335429,204.5659593,540,103.9411249,3,B
875.7241434,332.1019755,277.0950696,1042.920414,248.4503812,530.5,103.3553385,4,B
872.935793,346.6286169,272.2862533,1169.34991,245.6076113,519.5,101.3553383,4,B
867.7800954,311.2735432,277.585352,994.9839889,246.0720726,506.5,99.35533834,4,B
882.7600618,376.4011327,267.3617204,1033.874221,228.1522334,508.5,100.5269113,4,B
871.308324,339.7776509,294.7684351,1158.018407,284.4600995,509,99.94112492,5,B
867.6541403,383.1140566,270.2823217,1038.055169,242.4984388,492.5,99.35533845,4,B
864.36366,356.6075117,270.4753798,1032.476355,235.6343467,492,99.94112492,4,B
873.3237368,349.643527,295.5708951,883.9742468,312.2340523,505,101.1126978,5,B
868.0137583,332.977243,273.3470341,851.6820659,230.3389971,495.5,97.6984843,4,B
863.956868,317.9685412,271.7895634,977.582651,231.2675655,505,99.94112492,4,B
863.6679722,364.3643542,277.991691,1160.45823,241.0735356,498.5,97.69848442,4,B
857.7292062,318.738006,274.8642259,1306.929186,231.8272649,494,97.11269784,4,B
860.4235458,330.3157091,274.9763527,981.5220261,225.1168612,495.5,99.35533834,4,B
851.5864208,323.1245691,275.6663996,707.5788273,229.6811914,498.5,97.6984843,4,B
852.9481054,323.5649886,275.8595023,716.4134317,230.4228483,515,99.9411248,4,B
860.3792211,318.8152711,277.4797414,865.2719264,234.1270077,520.5,100.5269114,4,B
852.4085668,323.2681553,277.3018879,1312.440455,227.2196716,518,99.94112492,4,B
853.3617901,346.452863,279.5141841,1291.955043,216.6554676,538,102.7695524,4,B
858.9433939,353.218574,277.2597046,1166.542662,238.8501613,533.5,101.3553383,4,B
856.2755729,336.1883986,275.8631948,1161.83043,226.4335956,547,104.769552,4,B
852.7158719,328.9005697,278.2841421,1288.567754,231.8869266,540.5,103.3553383,4,B
856.837207,323.6159434,278.652318,993.9302754,230.6958919,543.5,104.5269114,4,B
853.9212947,304.5685711,281.018589,1035.782435,229.9144759,525.5,102.5269114,4,B
850.7554666,352.1483202,280.0901127,1027.845404,227.2362443,547.5,105.3553385,4,B
857.3289845,317.2771768,214.5766405,1062.885861,207.059357,538,103.9411248,3,B
855.6262712,299.2161448,214.5955515,1060.922918,206.4554366,523,101.1126978,3,B
850.1352027,299.8036054,278.6364333,886.9243821,241.442531,529.5,102.5269113,4,B
854.1214503,310.9771943,280.8974042,726.7048767,229.0678632,531.5,103.6984843,4,B
852.4912826,353.5876174,280.6812652,1036.692902,233.2072083,531,101.9411249,4,B
854.9656192,341.3599008,281.7496627,1220.329091,233.5577084,529,103.1126978,4,B
853.6052095,308.0050465,285.311674,887.9343804,228.47971,523,101.1126978,4,B
858.3557473,342.538572,282.4085076,873.0863521,235.5000624,527.5,103.3553383,4,B
862.4885689,357.1803467,231.9170334,958.9828974,285.1577173,519,99.9411248,4,B
858.9130769,331.452737,284.1888232,1047.358407,241.2984555,510,99.11269784,4,B
858.9205805,309.9747665,282.0608758,1041.387443,241.4705123,521,101.1126977,4,B
865.574133,344.9831533,280.8692655,1193.904435,235.936987,528,101.9411248,4,B
856.5545788,378.466061,262.7655478,1066.126435,158.5325997,531,103.9411249,3,B
857.2817694,302.6866319,279.4052684,879.1569288,234.0001866,509,99.11269772,4,B
863.3835867,352.7467268,282.2507404,1467.928058,232.0877994,512,99.11269784,4,B
859.9292009,321.1060297,295.5607518,1169.983812,309.9830599,506,99.45584369,5,B
854.2906727,314.0611656,283.0249379,1011.942068,240.4041902,511.5,98.52691138,4,B
860.3936128,340.0247586,300.7870958,1311.479559,289.9369046,520,101.1126978,5,B
857.1026364,340.6891816,279.2303925,1181.278313,236.6768714,510.5,98.52691138,4,B
862.6666461,298.9081412,284.5902134,1186.084823,232.3587439,525,101.9411249,4,B
863.5830264,331.8659658,296.2947512,1333.889631,301.5809249,515,99.94112492,5,B
861.3714971,354.5853807,283.4147067,1247.963569,235.4014285,533,103.1126978,4,B
859.3189432,311.3156668,283.6564926,898.3573789,234.0623583,531.5,102.5269113,4,B
865.607323,360.7407739,281.8698905,1075.10549,235.6164518,525,101.9411249,4,B
865.7596612,315.4886092,279.4604623,1081.403526,242.6432808,496.5,97.6984843,4,B
863.9519495,317.5107073,286.7400782,1054.176266,243.9915218,519.5,100.5269114,4,B
857.7867757,322.1441687,285.7293957,1194.978522,231.0513808,549.5,103.3553383,4,B
850.7036721,294.2339214,296.8883352,1298.311861,306.8323658,552,103.9411248,5,B
859.1254252,331.3777826,295.5769041,1223.253154,322.8374238,550.5,104.5269113,5,B
861.0720378,322.4342976,290.0786103,1192.901612,240.8684654,539.5,103.3553383,4,B
867.1957361,315.0945206,293.4224184,1065.016492,299.145928,546.5,105.3553385,5,B
867.4603544,337.7444711,285.8215935,2127.359295,228.1375184,536,101.1126977,4,B
860.9003149,348.5784709,286.2111442,1091.024431,247.1675084,524.5,100.5269111,4,B
873.4422513,339.9614207,282.1261892,1341.521573,242.9198796,471.5,94.52691138,4,B
877.6010741,340.7868058,288.1326346,1154.352271,314.1673674,434.5,91.6984843,5,B
890.132961,356.7689459,207.24283,1270.564281,215.4924907,406,87.45584369,3,B
896.757786,357.4541824,207.5077599,1264.457509,219.742973,396.5,88.04163015,3,B
